ID,State,State_Name,Location_Name,Postcode,TourismRegion_Name,DNSW Classification,DNSW Classification + Regional NSW (SA4),SA2_Name,SA3_Name,SA4_Name,LGA_Name,SD_Name,SLA_Name
5489,1,New South Wales,Mullion NSW,2618,Capital Country,Regional NSW,Capital Region,Yass Region,Goulburn - Yass,Capital Region,Yass Valley (A),South Eastern,Yass Valley (A)
5490,1,New South Wales,Mulloon NSW,2622,Capital Country,Regional NSW,Capital Region,Queanbeyan Region,Queanbeyan,Capital Region,Palerang (A),South Eastern,Palerang (A) - Pt B
5491,1,New South Wales,Mullumbimby Creek NSW,2482,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,Byron (A),Richmond-Tweed,Byron (A)
5492,1,New South Wales,Mullumbimby NSW,2482,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,Byron (A),Richmond-Tweed,Byron (A)
5493,1,New South Wales,Mulwala NSW,2647,The Murray,Regional NSW,Murray,Corowa Region,Upper Murray exc. Albury,Murray,Corowa Shire (A),Murray,Corowa Shire (A)
5494,1,New South Wales,Mulwee NSW,2324,North Coast NSW,Regional NSW,Hunter Valley exc Newcastle,Williamtown - Medowie - Karuah,Port Stephens,Hunter Valley exc Newcastle,Port Stephens (A),Hunter,Port Stephens (A)
5495,1,New South Wales,Mulyan NSW,2800,Central NSW,Regional NSW,Central West,Orange Region,Orange,Central West,Cabonne (A),Central West,Cabonne (A)
5496,1,New South Wales,Mulyandry NSW,2871,Central NSW,Regional NSW,Central West,Forbes,Lachlan Valley,Central West,Forbes (A),Central West,Forbes (A)
5497,1,New South Wales,Mumbil NSW,2820,Central NSW,Regional NSW,Far West and Orana,Wellington,Dubbo,Far West and Orana,Wellington (A),North Western,Wellington (A)
5498,1,New South Wales,Mumblebone NSW,2824,Outback NSW,Regional NSW,Far West and Orana,Nyngan - Warren,Bourke - Cobar - Coonamble,Far West and Orana,Warren (A),North Western,Warren (A)
5499,1,New South Wales,Mumblebone Plain NSW,2824,Outback NSW,Regional NSW,Far West and Orana,Nyngan - Warren,Bourke - Cobar - Coonamble,Far West and Orana,Warren (A),North Western,Warren (A)
5500,1,New South Wales,Mumbulla Mountain NSW,2550,South Coast,Regional NSW,Capital Region,Bega-Eden Hinterland,South Coast,Capital Region,Bega Valley (A),South Eastern,Bega Valley (A)
5501,1,New South Wales,Mumbulla NSW,2550,South Coast,Regional NSW,Capital Region,Bega-Eden Hinterland,South Coast,Capital Region,Bega Valley (A),South Eastern,Bega Valley (A)
5502,1,New South Wales,Mummel NSW,2580,Capital Country,Regional NSW,Capital Region,Goulburn Region,Goulburn - Yass,Capital Region,Goulburn Mulwaree (A),South Eastern,Goulburn Mulwaree (A) Bal
5503,1,New South Wales,Mummulgum NSW,2469,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Casino Region,Richmond Valley - Hinterland,Richmond - Tweed,Kyogle (A),Richmond-Tweed,Kyogle (A)
5504,1,New South Wales,Mundadoo NSW,2839,Outback NSW,Regional NSW,Far West and Orana,Nyngan - Warren,Bourke - Cobar - Coonamble,Far West and Orana,Brewarrina (A),North Western,Brewarrina (A)
5505,1,New South Wales,Mundamia NSW,2540,South Coast,Regional NSW,Southern Highlands and Shoalhaven,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,Shoalhaven (C),Illawarra,Shoalhaven (C) - Pt A
5506,1,New South Wales,Mundarlo NSW,2729,Riverina,Regional NSW,Riverina,Gundagai,Wagga Wagga,Riverina,Gundagai (A),Murrumbidgee,Gundagai (A)
5507,1,New South Wales,Mundawaddra NSW,2656,Riverina,Regional NSW,Riverina,Wagga Wagga Region,Wagga Wagga,Riverina,Lockhart (A),Murrumbidgee,Lockhart (A)
5508,1,New South Wales,Munderoo NSW,2653,Snowy Mountains,Regional NSW,Riverina,Tumbarumba,Tumut - Tumbarumba,Riverina,Tumbarumba (A),Murray,Tumbarumba (A)
5509,1,New South Wales,Mundi Mundi NSW,2880,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Unincorporated NSW,Far West,Unincorp. Far West
5510,1,New South Wales,Mundine NSW,2409,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Moree Plains (A),Northern,Moree Plains (A)
5511,1,New South Wales,Mundiwa (N of Brewarrina) NSW,2839,Outback NSW,Regional NSW,Far West and Orana,Bourke - Brewarrina,Bourke - Cobar - Coonamble,Far West and Orana,Brewarrina (A),North Western,Brewarrina (A)
5512,1,New South Wales,Mundiwa (Deniliquin Area) NSW,2710,The Murray,Regional NSW,Murray,Deniliquin,Upper Murray exc. Albury,Murray,Deniliquin (A),Murray,Deniliquin (A)
5513,1,New South Wales,Mundongo NSW,2720,Snowy Mountains,Regional NSW,Riverina,Tumut Region,Tumut - Tumbarumba,Riverina,Tumut Shire (A),Murrumbidgee,Tumut Shire (A)
5514,1,New South Wales,Mungabareena NSW,2640,The Murray,Regional NSW,Murray,Albury - East,Albury,Murray,Albury (C),Murray,Albury (C)
5515,1,New South Wales,Mungarra NSW,2871,Central NSW,Regional NSW,Central West,Forbes,Lachlan Valley,Central West,Forbes (A),Central West,Forbes (A)
5516,1,New South Wales,Mungay Creek NSW,2440,North Coast NSW,Regional NSW,Mid North Coast,Kempsey Region,Kempsey - Nambucca,Mid North Coast,Kempsey (A),Mid-North Coast,Kempsey (A)
5517,1,New South Wales,Mungay Flat NSW,2440,North Coast NSW,Regional NSW,Mid North Coast,Kempsey Region,Kempsey - Nambucca,Mid North Coast,Kempsey (A),Mid-North Coast,Kempsey (A)
5518,1,New South Wales,Mungeri NSW,2829,Central NSW,Regional NSW,Far West and Orana,Coonamble,Bourke - Cobar - Coonamble,Far West and Orana,Coonamble (A),North Western,Coonamble (A)
5519,1,New South Wales,Mungeribar NSW,2821,Central NSW,Regional NSW,Far West and Orana,Narromine,Dubbo,Far West and Orana,Narromine (A),North Western,Narromine (A)
5520,1,New South Wales,Mungerie NSW,2821,Central NSW,Regional NSW,Far West and Orana,Narromine,Dubbo,Far West and Orana,Narromine (A),North Western,Narromine (A)
5521,1,New South Wales,Mungery NSW,2874,Central NSW,Regional NSW,Central West,Condobolin,Lachlan Valley,Central West,Parkes (A),Central West,Parkes (A)
5522,1,New South Wales,Mungery West NSW,2870,Central NSW,Regional NSW,Central West,Parkes Region,Lachlan Valley,Central West,Parkes (A),Central West,Parkes (A)
5523,1,New South Wales,Munghorn NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - West,Lithgow - Mudgee,Central West,Mid-Western Regional (A),North Western,Mid-Western Regional (A) - Pt A
5524,1,New South Wales,Mungie Bundie NSW,2400,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Moree Plains (A),Northern,Moree Plains (A)
5525,1,New South Wales,Mungindi NSW,2406,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Moree Plains (A),Northern,Moree Plains (A)
5526,1,New South Wales,Mungle NSW,2408,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Gwydir (A),Northern,Gwydir (A)
5527,1,New South Wales,Mungo Brush NSW,2423,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
5528,1,New South Wales,Mungo National Park NSW,2715,The Murray,Regional NSW,Murray,Wentworth-Balranald Region,Lower Murray,Murray,Balranald (A),Murray,Balranald (A)
5529,1,New South Wales,Mungo NSW,2715,The Murray,Regional NSW,Murray,Wentworth-Balranald Region,Lower Murray,Murray,Balranald (A),Murray,Balranald (A)
5530,1,New South Wales,Munmorah NSW,2259,Central Coast,Central Coast,Central Coast,Lake Munmorah - Mannering Park,Wyong,Central Coast,Wyong (A),Sydney,Wyong (A) - North-East
5531,1,New South Wales,Munmurra NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - West,Lithgow - Mudgee,Central West,Upper Hunter Shire (A),Hunter,Upper Hunter Shire (A)
5532,1,New South Wales,Munna NSW,2852,Central NSW,Regional NSW,Central West,Mudgee Region - West,Lithgow - Mudgee,Central West,Mid-Western Regional (A),North Western,Mid-Western Regional (A) - Pt A
5533,1,New South Wales,Munni NSW,2420,Hunter,Hunter,Hunter,Dungog,Lower Hunter,Hunter Valley exc Newcastle,Dungog (A),Hunter,Dungog (A)
5534,1,New South Wales,Munyabla NSW,2658,Riverina,Regional NSW,Riverina,Wagga Wagga Region,Wagga Wagga,Riverina,Lockhart (A),Murrumbidgee,Lockhart (A)
5535,1,New South Wales,Munyang NSW,2630,Snowy Mountains,Regional NSW,Capital Region,Jindabyne - Berridale,Snowy Mountains,Capital Region,Snowy River (A),South Eastern,Snowy River (A)
5536,1,New South Wales,Muree Chase NSW,2321,North Coast NSW,Regional NSW,Hunter Valley exc Newcastle,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,Port Stephens (A),Hunter,Port Stephens (A)
5537,1,New South Wales,Murga NSW,2804,Central NSW,Regional NSW,Central West,Forbes,Lachlan Valley,Central West,Cabonne (A),Central West,Cabonne (A)
5538,1,New South Wales,Murgha NSW,2710,The Murray,Regional NSW,Murray,Deniliquin Region,Upper Murray exc. Albury,Murray,Conargo (A),Murray,Conargo (A)
5539,1,New South Wales,Murgo NSW,2408,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Gwydir (A),Northern,Gwydir (A)
5540,1,New South Wales,Muriel NSW,2825,Outback NSW,Regional NSW,Far West and Orana,Nyngan - Warren,Bourke - Cobar - Coonamble,Far West and Orana,Bogan (A),North Western,Bogan (A)
5541,1,New South Wales,Murlingbung NSW,2628,Snowy Mountains,Regional NSW,Capital Region,Jindabyne - Berridale,Snowy Mountains,Capital Region,Snowy River (A),South Eastern,Snowy River (A)
5542,1,New South Wales,Muronbung NSW,2820,Central NSW,Regional NSW,Far West and Orana,Dubbo Region,Dubbo,Far West and Orana,Wellington (A),North Western,Wellington (A)
5543,1,New South Wales,Murragamba NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - West,Lithgow - Mudgee,Central West,Mid-Western Regional (A),North Western,Mid-Western Regional (A) - Pt A
5544,1,New South Wales,Murraguldrie NSW,2652,Riverina,Regional NSW,Riverina,Wagga Wagga Region,Wagga Wagga,Riverina,Wagga Wagga (C),Murrumbidgee,Wagga Wagga (C) - Pt B
