ID,State,State_Name,Location_Name,Postcode,TourismRegion_Name,DNSW Classification,DNSW Classification + Regional NSW (SA4),SA2_Name,SA3_Name,SA4_Name,LGA_Name,SD_Name,SLA_Name
1,1,New South Wales,Aarons Pass NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - East,Lithgow - Mudgee,Central West,Mid-Western Regional (A),Central West,Mid-Western Regional (A) - Pt B
2,1,New South Wales,Abbey Green NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
3,1,New South Wales,Abbotsbury NSW,2176,Sydney,Sydney - South West,Sydney - South West,Bossley Park - Abbotsbury,Fairfield,Sydney - South West,Fairfield (C),Sydney,Fairfield (C) - West
4,1,New South Wales,Abbotsford NSW,2046,Sydney,Sydney - Inner West,Sydney - Inner West,Five Dock - Abbotsford,Canada Bay,Sydney - Inner West,Canada Bay (A),Sydney,Canada Bay (A) - Drummoyne
5,1,New South Wales,Abbotsford Point NSW,2046,Sydney,Sydney - Inner West,Sydney - Inner West,Five Dock - Abbotsford,Canada Bay,Sydney - Inner West,Canada Bay (A),Sydney,Canada Bay (A) - Drummoyne
6,1,New South Wales,Abedoar NSW,2406,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Moree Plains (A),Northern,Moree Plains (A)
7,1,New South Wales,Aberbaldie NSW,2354,New England North West,Regional NSW,New England and North West,Walcha,Armidale,New England and North West,Walcha (A),Northern,Walcha (A)
8,1,New South Wales,Abercrombie Caves NSW,2795,Central NSW,Regional NSW,Central West,Bathurst Region,Bathurst,Central West,Bathurst Regional (A),Central West,Bathurst Regional (A) - Pt B
9,1,New South Wales,Abercrombie NSW,2795,Central NSW,Regional NSW,Central West,Bathurst Region,Bathurst,Central West,Bathurst Regional (A),Central West,Bathurst Regional (A) - Pt B
10,1,New South Wales,Aberdare NSW,2325,Hunter,Hunter,Hunter,Cessnock,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
11,1,New South Wales,Aberdare West NSW,2334,Hunter,Hunter,Hunter,Branxton - Greta - Pokolbin,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
12,1,New South Wales,Aberdeen NSW,2336,Hunter,Hunter,Hunter,Scone Region,Upper Hunter,Hunter Valley exc Newcastle,Upper Hunter Shire (A),Hunter,Upper Hunter Shire (A)
13,1,New South Wales,Aberfoyle NSW,2350,New England North West,Regional NSW,New England and North West,Armidale Region - North,Armidale,New England and North West,Guyra (A),Northern,Guyra (A)
14,1,New South Wales,Aberglasslyn NSW,2320,Hunter,Hunter,Hunter,Maitland - West,Maitland,Hunter Valley exc Newcastle,Maitland (C),Hunter,Maitland (C)
15,1,New South Wales,Abermain NSW,2326,Hunter,Hunter,Hunter,Kurri Kurri - Abermain,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
16,1,New South Wales,Abernethy NSW,2325,Hunter,Hunter,Hunter,Cessnock Region,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
17,1,New South Wales,Abingdon NSW,2722,Riverina,Regional NSW,Riverina,Gundagai,Wagga Wagga,Riverina,Gundagai (A),Murrumbidgee,Gundagai (A)
18,1,New South Wales,Abington NSW,2358,New England North West,Regional NSW,New England and North West,Armidale Region - South,Armidale,New England and North West,Uralla (A),Northern,Uralla (A)
19,1,New South Wales,Acacia Creek NSW,2476,New England North West,Regional NSW,New England and North West,Tenterfield,Inverell - Tenterfield,New England and North West,Tenterfield (A),Northern,Tenterfield (A)
20,1,New South Wales,Acacia Gardens NSW,2763,Sydney,Sydney - Blacktown,Sydney - Blacktown,Quakers Hill - Acacia Gardens,Blacktown - North,Sydney - Blacktown,Blacktown (C),Sydney,Blacktown (C) - North
21,1,New South Wales,Acacia Park NSW,2350,New England North West,Regional NSW,New England and North West,Armidale,Armidale,New England and North West,Armidale Dumaresq (A),Northern,Armidale Dumaresq (A) - City
22,1,New South Wales,Acacia Plateau NSW,2476,New England North West,Regional NSW,New England and North West,Tenterfield,Inverell - Tenterfield,New England and North West,Tenterfield (A),Northern,Tenterfield (A)
23,1,New South Wales,Achill NSW,2350,New England North West,Regional NSW,New England and North West,Armidale Region - North,Armidale,New England and North West,Armidale Dumaresq (A),Northern,Armidale Dumaresq (A) Bal
24,1,New South Wales,Adaminaby NSW,2629,Snowy Mountains,Regional NSW,Capital Region,Cooma Region,Snowy Mountains,Capital Region,Snowy River (A),South Eastern,Snowy River (A)
25,1,New South Wales,Adamstown Heights NSW,2289,Hunter,Hunter,Hunter,Adamstown - Kotara,Newcastle,Newcastle and Lake Macquarie,Newcastle (C),Hunter,Newcastle (C) - Throsby
26,1,New South Wales,Adamstown NSW,2289,Hunter,Hunter,Hunter,Adamstown - Kotara,Newcastle,Newcastle and Lake Macquarie,Newcastle (C),Hunter,Newcastle (C) - Throsby
27,1,New South Wales,Addison Road NSW,2204,Sydney,Sydney - City and Inner South,Sydney - City and Inner South,Marrickville,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Marrickville (A),Sydney,Marrickville (A)
28,1,New South Wales,Adelong NSW,2729,Snowy Mountains,Regional NSW,Riverina,Tumut Region,Tumut - Tumbarumba,Riverina,Tumut Shire (A),Murrumbidgee,Tumut Shire (A)
29,1,New South Wales,Adit Camp NSW,2630,Snowy Mountains,Regional NSW,Capital Region,Jindabyne - Berridale,Snowy Mountains,Capital Region,Snowy River (A),South Eastern,Snowy River (A)
30,1,New South Wales,Adjungbilly NSW,2727,Riverina,Regional NSW,Riverina,Gundagai,Wagga Wagga,Riverina,Gundagai (A),Murrumbidgee,Gundagai (A)
31,1,New South Wales,Adwill Place NSW,2122,Sydney,Sydney - Ryde,Sydney - Ryde,Macquarie Park - Marsfield,Ryde - Hunters Hill,Sydney - Ryde,Ryde (C),Sydney,Ryde (C)
32,1,New South Wales,Afterlee NSW,2474,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Kyogle,Richmond Valley - Hinterland,Richmond - Tweed,Kyogle (A),Richmond-Tweed,Kyogle (A)
33,1,New South Wales,Agnes Banks NSW,2753,Sydney,Sydney - Outer West and Blue Mountains,Sydney - Outer West and Blue Mountains,Richmond - Clarendon,Richmond - Windsor,Sydney - Outer West and Blue Mountains,Hawkesbury (C),Sydney,Hawkesbury (C)
34,1,New South Wales,Airds NSW,2560,Sydney,Sydney - Outer South West,Sydney - Outer South West,Bradbury - Wedderburn,Campbelltown (NSW),Sydney - Outer South West,Campbelltown (C),Sydney,Campbelltown (C) - South
35,1,New South Wales,Airlie Brake NSW,2360,New England North West,Regional NSW,New England and North West,Inverell Region - West,Inverell - Tenterfield,New England and North West,Inverell (A),Northern,Inverell (A) - Pt A
36,1,New South Wales,Airly Moorton NSW,2846,Blue Mountains,Regional NSW,Central West,Lithgow Region,Lithgow - Mudgee,Central West,Lithgow (C),Central West,Lithgow (C)
37,1,New South Wales,Airly NSW,2846,Blue Mountains,Regional NSW,Central West,Lithgow Region,Lithgow - Mudgee,Central West,Lithgow (C),Central West,Lithgow (C)
38,1,New South Wales,Akolele NSW,2546,South Coast,Regional NSW,Capital Region,Narooma - Bermagui,South Coast,Capital Region,Eurobodalla (A),South Eastern,Eurobodalla (A)
39,1,New South Wales,Akuna Bay NSW,2084,Sydney,Sydney - Northern Beaches,Sydney - Northern Beaches,Terrey Hills - Duffys Forest,Warringah,Sydney - Northern Beaches,Warringah (A),Sydney,Warringah (A)
40,1,New South Wales,Akuna NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - East,Lithgow - Mudgee,Central West,Mid-Western Regional (A),Central West,Mid-Western Regional (A) - Pt B
41,1,New South Wales,Alagala NSW,2874,Central NSW,Regional NSW,Central West,Condobolin,Lachlan Valley,Central West,Parkes (A),Central West,Parkes (A)
42,1,New South Wales,Albatross RAN Airforce Station NSW,2540,South Coast,Regional NSW,Southern Highlands and Shoalhaven,North Nowra - Bomaderry,Shoalhaven,Southern Highlands and Shoalhaven,Shoalhaven (C),Illawarra,Shoalhaven (C) - Pt A
43,1,New South Wales,Albermarle NSW,2879,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Central Darling (A),Far West,Central Darling (A)
44,1,New South Wales,Albert NSW,2873,Central NSW,Regional NSW,Central West,Condobolin,Lachlan Valley,Central West,Lachlan (A),Central West,Lachlan (A)
45,1,New South Wales,Albion Hill NSW,2360,New England North West,Regional NSW,New England and North West,Inverell,Inverell - Tenterfield,New England and North West,Inverell (A),Northern,Inverell (A) - Pt B
46,1,New South Wales,Albion NSW,2880,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Unincorporated NSW,Far West,Unincorp. Far West
47,1,New South Wales,Albion Park NSW,2527,South Coast,Regional NSW,Illawarra,Albion Park - Macquarie Pass,Kiama - Shellharbour,Illawarra,Shellharbour (C),Illawarra,Shellharbour (C)
48,1,New South Wales,Albion Park Rail NSW,2527,South Coast,Regional NSW,Illawarra,Albion Park Rail,Kiama - Shellharbour,Illawarra,Shellharbour (C),Illawarra,Shellharbour (C)
49,1,New South Wales,Albury NSW,2640,The Murray,Regional NSW,Murray,Albury - South,Albury,Murray,Albury (C),Murray,Albury (C)
50,1,New South Wales,Alcheringa NSW,2328,Hunter,Hunter,Hunter,Muswellbrook Region,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
51,1,New South Wales,Aldavilla NSW,2440,North Coast NSW,Regional NSW,Mid North Coast,Kempsey,Kempsey - Nambucca,Mid North Coast,Kempsey (A),Mid-North Coast,Kempsey (A)
52,1,New South Wales,Alderley Creek NSW,2425,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
53,1,New South Wales,Alderley NSW,2425,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
54,1,New South Wales,Alectown NSW,2870,Central NSW,Regional NSW,Central West,Parkes Region,Lachlan Valley,Central West,Parkes (A),Central West,Parkes (A)
55,1,New South Wales,Alectown West NSW,2870,Central NSW,Regional NSW,Central West,Parkes Region,Lachlan Valley,Central West,Parkes (A),Central West,Parkes (A)
56,1,New South Wales,Alexandria NSW,2015,Sydney,Sydney - City and Inner South,Sydney - City and Inner South,Erskineville - Alexandria,Sydney Inner City,Sydney - City and Inner South,Sydney (C),Sydney,Sydney (C) - South
57,1,New South Wales,Alfords Point NSW,2234,Sydney,Sydney - Sutherland,Sydney - Sutherland,Illawong - Alfords Point,Sutherland - Menai - Heathcote,Sydney - Sutherland,Sutherland Shire (A),Sydney,Sutherland Shire (A) - West
58,1,New South Wales,Alfredtown NSW,2652,Riverina,Regional NSW,Riverina,Wagga Wagga Region,Wagga Wagga,Riverina,Wagga Wagga (C),Murrumbidgee,Wagga Wagga (C) - Pt B
59,1,New South Wales,Algudgerie NSW,2716,The Murray,Regional NSW,Murray,Tocumwal - Finley - Jerilderie,Upper Murray exc. Albury,Murray,Jerilderie (A),Murray,Jerilderie (A)
60,1,New South Wales,Alice NSW,2469,Northern Rivers Tropical NSW,Regional NSW,Coffs Harbour - Grafton,Grafton Region,Clarence Valley,Coffs Harbour - Grafton,Clarence Valley (A),Mid-North Coast,Clarence Valley (A) Bal
61,1,New South Wales,Alison (Near Dungog) NSW,2420,Hunter,Hunter,Hunter,Dungog,Lower Hunter,Hunter Valley exc Newcastle,Dungog (A),Hunter,Dungog (A)
62,1,New South Wales,Alison (Near Wyong) NSW,2259,Central Coast,Central Coast,Central Coast,Jilliby - Yarramalong,Wyong,Central Coast,Wyong (A),Sydney,Wyong (A) - North-East
63,1,New South Wales,Allambie (SE of Wilcannia) NSW,2879,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Central Darling (A),Far West,Central Darling (A)
64,1,New South Wales,Allambie (Sydney) NSW,2085,Sydney,Sydney - Northern Beaches,Sydney - Northern Beaches,Frenchs Forest - Belrose,Warringah,Sydney - Northern Beaches,Warringah (A),Sydney,Warringah (A)
65,1,New South Wales,Allambie Heights NSW,2100,Sydney,Sydney - Northern Beaches,Sydney - Northern Beaches,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,Warringah (A),Sydney,Warringah (A)
66,1,New South Wales,Allan Cunningham NSW,2328,Hunter,Hunter,Hunter,Muswellbrook Region,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
67,1,New South Wales,Allandale NSW,2334,Hunter,Hunter,Hunter,Branxton - Greta - Pokolbin,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
68,1,New South Wales,Allandy NSW,2880,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Unincorporated NSW,Far West,Unincorp. Far West
69,1,New South Wales,Allawah NSW,2218,Sydney,Sydney - Inner South West,Sydney - Inner South West,Kogarah Bay - Carlton - Allawah,Kogarah - Rockdale,Sydney - Inner South West,Kogarah (C),Sydney,Kogarah (C)
70,1,New South Wales,Alleena NSW,2665,Central NSW,Regional NSW,Central West,West Wyalong,Lachlan Valley,Central West,Bland (A),Central West,Bland (A)
71,1,New South Wales,Allgomera Creek NSW,2441,North Coast NSW,Regional NSW,Mid North Coast,Nambucca Heads Region,Kempsey - Nambucca,Mid North Coast,Nambucca (A),Mid-North Coast,Nambucca (A)
72,1,New South Wales,Allgomera NSW,2441,North Coast NSW,Regional NSW,Mid North Coast,Nambucca Heads Region,Kempsey - Nambucca,Mid North Coast,Nambucca (A),Mid-North Coast,Nambucca (A)
73,1,New South Wales,Allonville NSW,2650,Riverina,Regional NSW,Riverina,Wagga Wagga - East,Wagga Wagga,Riverina,Wagga Wagga (C),Murrumbidgee,Wagga Wagga (C) - Pt A
74,1,New South Wales,Allworth NSW,2425,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
75,1,New South Wales,Allynbrook NSW,2311,Hunter,Hunter,Hunter,Dungog,Lower Hunter,Hunter Valley exc Newcastle,Dungog (A),Hunter,Dungog (A)
76,1,New South Wales,Alma NSW,2880,Outback NSW,Regional NSW,Far West and Orana,Broken Hill,Broken Hill and Far West,Far West and Orana,Broken Hill (C),Far West,Broken Hill (C)
77,1,New South Wales,Alma Park NSW,2659,The Murray,Regional NSW,Murray,Albury Region,Albury,Murray,Greater Hume Shire (A),Murray,Greater Hume Shire (A) - Pt B
78,1,New South Wales,Alphadale NSW,2480,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Goonellabah,Richmond Valley - Hinterland,Richmond - Tweed,Lismore (C),Richmond-Tweed,Lismore (C) - Pt A
79,1,New South Wales,Alpine NSW,2575,Capital Country,Regional NSW,Southern Highlands and Shoalhaven,Hill Top - Colo Vale,Southern Highlands,Southern Highlands and Shoalhaven,Wingecarribee (A),Illawarra,Wingecarribee (A)
80,1,New South Wales,Alstonvale NSW,2477,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Ballina Region,Richmond Valley - Coastal,Richmond - Tweed,Ballina (A),Richmond-Tweed,Ballina (A)
81,1,New South Wales,Alstonville NSW,2477,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Ballina Region,Richmond Valley - Coastal,Richmond - Tweed,Ballina (A),Richmond-Tweed,Ballina (A)
82,1,New South Wales,Alum Creek NSW,2630,Snowy Mountains,Regional NSW,Capital Region,Cooma Region,Snowy Mountains,Capital Region,Cooma-Monaro (A),South Eastern,Cooma-Monaro (A)
83,1,New South Wales,Alumy Creek NSW,2460,Northern Rivers Tropical NSW,Regional NSW,Coffs Harbour - Grafton,Grafton,Clarence Valley,Coffs Harbour - Grafton,Clarence Valley (A),Mid-North Coast,Clarence Valley (A) - Grafton
84,1,New South Wales,Amarina NSW,2472,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Evans Head,Richmond Valley - Coastal,Richmond - Tweed,Richmond Valley (A),Richmond-Tweed,Richmond Valley (A) Bal
85,1,New South Wales,Amaroo NSW,2866,Central NSW,Regional NSW,Central West,Orange Region,Orange,Central West,Cabonne (A),Central West,Cabonne (A)
86,1,New South Wales,Ambarvale NSW,2560,Sydney,Sydney - Outer South West,Sydney - Outer South West,Rosemeadow - Glen Alpine,Campbelltown (NSW),Sydney - Outer South West,Campbelltown (C),Sydney,Campbelltown (C) - South
87,1,New South Wales,Ambervale NSW,2558,Sydney,Sydney - Outer South West,Sydney - Outer South West,Claymore - Eagle Vale - Raby,Campbelltown (NSW),Sydney - Outer South West,Campbelltown (C),Sydney,Campbelltown (C) - North
88,1,New South Wales,Amesbury NSW,2705,Riverina,Regional NSW,Riverina,Leeton,Griffith - Murrumbidgee (West),Riverina,Leeton (A),Murrumbidgee,Leeton (A)
89,1,New South Wales,Ammerdown NSW,2800,Central NSW,Regional NSW,Central West,Orange,Orange,Central West,Orange (C),Central West,Orange (C)
90,1,New South Wales,Amosfield NSW,2372,New England North West,Regional NSW,New England and North West,Tenterfield,Inverell - Tenterfield,New England and North West,Tenterfield (A),Northern,Tenterfield (A)
91,1,New South Wales,Ana Branch NSW,2648,The Murray,Regional NSW,Murray,Wentworth-Balranald Region,Lower Murray,Murray,Wentworth (A),Murray,Wentworth (A)
92,1,New South Wales,Anabranch NSW,2648,The Murray,Regional NSW,Murray,Wentworth-Balranald Region,Lower Murray,Murray,Wentworth (A),Murray,Wentworth (A)
93,1,New South Wales,Anambah NSW,2334,Hunter,Hunter,Hunter,Maitland - West,Maitland,Hunter Valley exc Newcastle,Maitland (C),Hunter,Maitland (C)
94,1,New South Wales,Andersons Hill NSW,2481,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Brunswick Heads - Ocean Shores,Richmond Valley - Coastal,Richmond - Tweed,Byron (A),Richmond-Tweed,Byron (A)
95,1,New South Wales,Ando NSW,2632,Snowy Mountains,Regional NSW,Capital Region,Bombala,Snowy Mountains,Capital Region,Bombala (A),South Eastern,Bombala (A)
96,1,New South Wales,Anembo NSW,2620,Capital Country,Regional NSW,Capital Region,Queanbeyan Region,Queanbeyan,Capital Region,Cooma-Monaro (A),South Eastern,Cooma-Monaro (A)
97,1,New South Wales,Angle Park NSW,2830,Central NSW,Regional NSW,Far West and Orana,Dubbo Region,Dubbo,Far West and Orana,Dubbo (C),North Western,Dubbo (C) - Pt B
98,1,New South Wales,Angledale NSW,2550,South Coast,Regional NSW,Capital Region,Bega-Eden Hinterland,South Coast,Capital Region,Bega Valley (A),South Eastern,Bega Valley (A)
99,1,New South Wales,Angledool NSW,2833,Outback NSW,Regional NSW,Far West and Orana,Walgett - Lightning Ridge,Bourke - Cobar - Coonamble,Far West and Orana,Walgett (A),North Western,Walgett (A)
100,1,New South Wales,Anglers Reach NSW,2629,Snowy Mountains,Regional NSW,Capital Region,Cooma Region,Snowy Mountains,Capital Region,Snowy River (A),South Eastern,Snowy River (A)
101,1,New South Wales,Angourie NSW,2464,Northern Rivers Tropical NSW,Regional NSW,Coffs Harbour - Grafton,Maclean - Yamba - Iluka,Clarence Valley,Coffs Harbour - Grafton,Clarence Valley (A),Mid-North Coast,Clarence Valley (A) - Coast
102,1,New South Wales,Angus Place NSW,2790,Blue Mountains,Regional NSW,Central West,Lithgow Region,Lithgow - Mudgee,Central West,Lithgow (C),Central West,Lithgow (C)
103,1,New South Wales,Anleys Creek NSW,2420,Hunter,Hunter,Hunter,Dungog,Lower Hunter,Hunter Valley exc Newcastle,Dungog (A),Hunter,Dungog (A)
104,1,New South Wales,Anna Bay NSW,2316,North Coast NSW,Regional NSW,Hunter Valley exc Newcastle,Anna Bay,Port Stephens,Hunter Valley exc Newcastle,Port Stephens (A),Hunter,Port Stephens (A)
105,1,New South Wales,Annalara NSW,2835,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Central Darling (A),Far West,Central Darling (A)
106,1,New South Wales,Annandale NSW,2038,Sydney,Sydney - Inner West,Sydney - Inner West,Leichhardt - Annandale,Leichhardt,Sydney - Inner West,Leichhardt (A),Sydney,Leichhardt (A)
107,1,New South Wales,Annangrove NSW,2156,Sydney,Sydney - Baulkham Hills and Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Dural - Kenthurst - Wisemans Ferry,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,The Hills Shire (A),Sydney,The Hills Shire (A) - North
108,1,New South Wales,Anona NSW,2669,Central NSW,Regional NSW,Central West,West Wyalong,Lachlan Valley,Central West,Bland (A),Central West,Bland (A)
109,1,New South Wales,Antiene NSW,2333,Hunter,Hunter,Hunter,Muswellbrook Region,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
110,1,New South Wales,Anvil Creek NSW,2334,Hunter,Hunter,Hunter,Branxton - Greta - Pokolbin,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
111,1,New South Wales,Anzac Village NSW,2168,Sydney,Sydney - South West,Sydney - South West,Ashcroft - Busby - Miller,Bringelly - Green Valley,Sydney - South West,Liverpool (C),Sydney,Liverpool (C) - East
112,1,New South Wales,Apanie NSW,2787,Blue Mountains,Regional NSW,Central West,Oberon,Bathurst,Central West,Oberon (A),Central West,Oberon (A)
113,1,New South Wales,Apollo NSW,2830,Central NSW,Regional NSW,Far West and Orana,Dubbo - East,Dubbo,Far West and Orana,Dubbo (C),North Western,Dubbo (C) - Pt A
114,1,New South Wales,Apostles Yard NSW,2705,Riverina,Regional NSW,Riverina,Leeton,Griffith - Murrumbidgee (West),Riverina,Leeton (A),Murrumbidgee,Leeton (A)
115,1,New South Wales,Appin (Far W NSW) NSW,2880,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Central Darling (A),Far West,Central Darling (A)
116,1,New South Wales,Appin (Sydney) NSW,2560,Sydney,Sydney - Outer South West,Sydney - Outer South West,Douglas Park - Appin,Wollondilly,Sydney - Outer South West,Wollondilly (A),Sydney,Wollondilly (A)
117,1,New South Wales,Apple Tree Bay NSW,2083,Sydney,Central Coast,Central Coast,Asquith - Mount Colah,Hornsby,Sydney - North Sydney and Hornsby,Hornsby (A),Sydney,Hornsby (A) - North
118,1,New South Wales,Apple Tree Flat (S of Mudgee) NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - West,Lithgow - Mudgee,Central West,Mid-Western Regional (A),North Western,Mid-Western Regional (A) - Pt A
119,1,New South Wales,Apple Tree Flat (Singleton Area) NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
120,1,New South Wales,Apple Tree Flat (Northern NSW) NSW,2361,New England North West,Regional NSW,New England and North West,Inverell Region - East,Inverell - Tenterfield,New England and North West,Inverell (A),Northern,Inverell (A) - Pt A
121,1,New South Wales,Appleby NSW,2340,New England North West,Regional NSW,New England and North West,Tamworth Region,Tamworth - Gunnedah,New England and North West,Tamworth Regional (A),Northern,Tamworth Regional (A) - Pt B
122,1,New South Wales,Applegrove NSW,2350,New England North West,Regional NSW,New England and North West,Armidale Region - North,Armidale,New England and North West,Armidale Dumaresq (A),Northern,Armidale Dumaresq (A) Bal
123,1,New South Wales,Appletree Clearing NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
124,1,New South Wales,Appletree Flat NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
125,1,New South Wales,Apsley NSW,2820,Central NSW,Regional NSW,Far West and Orana,Wellington,Dubbo,Far West and Orana,Wellington (A),North Western,Wellington (A)
126,1,New South Wales,Arable NSW,2630,Snowy Mountains,Regional NSW,Capital Region,Cooma Region,Snowy Mountains,Capital Region,Snowy River (A),South Eastern,Snowy River (A)
127,1,New South Wales,Arajoel NSW,2652,Riverina,Regional NSW,Riverina,Wagga Wagga Region,Wagga Wagga,Riverina,Wagga Wagga (C),Murrumbidgee,Wagga Wagga (C) - Pt B
128,1,New South Wales,Arakoon NSW,2431,North Coast NSW,Regional NSW,Mid North Coast,South West Rocks,Kempsey - Nambucca,Mid North Coast,Kempsey (A),Mid-North Coast,Kempsey (A)
129,1,New South Wales,Araluen North NSW,2622,Capital Country,Regional NSW,Capital Region,Braidwood,Queanbeyan,Capital Region,Palerang (A),South Eastern,Palerang (A) - Pt B
130,1,New South Wales,Araluen NSW,2622,Capital Country,Regional NSW,Capital Region,Braidwood,Queanbeyan,Capital Region,Palerang (A),South Eastern,Palerang (A) - Pt B
131,1,New South Wales,Aratula NSW,2710,The Murray,Regional NSW,Murray,Deniliquin Region,Upper Murray exc. Albury,Murray,Murray (A),Murray,Murray (A)
132,1,New South Wales,Arcadia NSW,2159,Sydney,Sydney - Baulkham Hills and Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Galston - Laughtondale,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,Hornsby (A),Sydney,Hornsby (A) - North
133,1,New South Wales,Arcadia Vale NSW,2267,Hunter,Hunter,Hunter,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,Lake Macquarie (C),Hunter,Lake Macquarie (C) - West
134,1,New South Wales,Archerfield Estate NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
135,1,New South Wales,Archriall NSW,2835,Outback NSW,Regional NSW,Far West and Orana,Cobar,Bourke - Cobar - Coonamble,Far West and Orana,Cobar (A),North Western,Cobar (A)
136,1,New South Wales,Ardglan NSW,2380,New England North West,Regional NSW,New England and North West,Gunnedah,Tamworth - Gunnedah,New England and North West,Gunnedah (A),Northern,Gunnedah (A)
137,1,New South Wales,Ardglen NSW,2339,New England North West,Regional NSW,New England and North West,Quirindi,Tamworth - Gunnedah,New England and North West,Liverpool Plains (A),Northern,Liverpool Plains (A)
138,1,New South Wales,Arding NSW,2358,New England North West,Regional NSW,New England and North West,Armidale Region - South,Armidale,New England and North West,Uralla (A),Northern,Uralla (A)
139,1,New South Wales,Ardlethan NSW,2665,Riverina,Regional NSW,Riverina,Temora,Wagga Wagga,Riverina,Coolamon (A),Murrumbidgee,Coolamon (A)
140,1,New South Wales,Ardrossan NSW,2730,Snowy Mountains,Regional NSW,Riverina,Tumut Region,Tumut - Tumbarumba,Riverina,Tumut Shire (A),Murrumbidgee,Tumut Shire (A)
141,1,New South Wales,Argalong NSW,2720,Snowy Mountains,Regional NSW,Riverina,Tumut Region,Tumut - Tumbarumba,Riverina,Tumut Shire (A),Murrumbidgee,Tumut Shire (A)
142,1,New South Wales,Argenton NSW,2284,Hunter,Hunter,Hunter,Glendale - Cardiff - Hillsborough,Lake Macquarie - East,Newcastle and Lake Macquarie,Lake Macquarie (C),Hunter,Lake Macquarie (C) - North
143,1,New South Wales,Argents Hill NSW,2449,North Coast NSW,Regional NSW,Mid North Coast,Nambucca Heads Region,Kempsey - Nambucca,Mid North Coast,Nambucca (A),Mid-North Coast,Nambucca (A)
144,1,New South Wales,Argoon NSW,2700,The Murray,Regional NSW,Murray,Tocumwal - Finley - Jerilderie,Upper Murray exc. Albury,Murray,Jerilderie (A),Murray,Jerilderie (A)
